Date,Bench 3,Bench 5,Taille de la trame,Mac_Src,Mac_Dst,Type,Field_2,Field_3,Field_4,Field_5,Field_6,Field_7,MAC_Sender,Source_IP,Sender_IP,Dest_IP,MAC_Target,Field_9,Target_IP,Field_10,Field_11,Field_14,Field_16,Field_17,Field_18,Field_20,Field_21,Field_23,Field_25,Field_26,Field_28,Field_29,Field_30,Field_32,Field_33_34_35,Time Packet (cal),PMID
2022-03-04 15:37:02.261,3,1 FT_0_label_1,590,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,572,10742,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,552,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,369,537,0,0,0,3 FT_3_label_4,15 FT_4_label_16,272,0(unknown),1001051.0088806152,2000-01-13 02:04:11.008,33d10(MID_61)
2022-03-04 15:37:02.286,3,1 FT_0_label_1,246,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,228,10743,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,208,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,369,193,0,0,0,3 FT_3_label_4,15 FT_4_label_16,1,0(unknown),1001051.0091094971,2000-01-13 02:04:11.009,33c01(MID_1)
2022-03-04 15:37:02.361,3,1 FT_0_label_1,210,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,192,10744,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,172,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,369,157,0,0,0,3 FT_3_label_4,15 FT_4_label_16,5,0(unknown),1001051.0223236084,2000-01-13 02:04:11.022,33c05(MID_5)
2022-03-04 15:37:02.361,3,1 FT_0_label_1,88,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,70,10745,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,50,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,47,35,0,0,0,3 FT_3_label_4,15 FT_4_label_16,36,0(unknown),1001051.0223693848,2000-01-13 02:04:11.022,33c24(MID_36)
2022-03-04 15:37:02.386,3,1 FT_0_label_1,94,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,76,10746,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,56,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,369,41,0,0,0,3 FT_3_label_4,15 FT_4_label_16,8,0(unknown),1001051.0623779297,2000-01-13 02:04:11.062,33c08(MID_8)
2022-03-04 15:37:02.386,3,1 FT_0_label_1,238,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,220,10747,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,200,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,47,185,0,0,0,3 FT_3_label_4,15 FT_4_label_16,17,0(unknown),1001051.062423706,2000-01-13 02:04:11.062,33c11(MID_17)
2022-03-04 15:37:02.386,3,1 FT_0_label_1,76,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,58,10748,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,38,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,47,23,0,0,0,3 FT_3_label_4,15 FT_4_label_16,22,0(unknown),1001051.0625610352,2000-01-13 02:04:11.062,33c16(MID_22)
2022-03-04 15:37:02.411,3,1 FT_0_label_1,350,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,332,10749,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,312,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,369,297,0,0,0,3 FT_3_label_4,15 FT_4_label_16,12,0(unknown),1001051.0758209229,2000-01-13 02:04:11.075,33c0c(MID_12)
2022-03-04 15:37:02.411,3,1 FT_0_label_1,78,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,60,10750,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,40,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,47,25,0,0,0,3 FT_3_label_4,15 FT_4_label_16,35,0(unknown),1001051.0758514404,2000-01-13 02:04:11.075,33c23(MID_35)
2022-03-04 15:37:02.486,3,1 FT_0_label_1,98,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,80,10751,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,60,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,323,45,0,0,0,3 FT_3_label_4,15 FT_4_label_16,15,0(unknown),1001051.089050293,2000-01-13 02:04:11.089,33c0f(MID_15)
2022-03-04 15:37:02.486,3,1 FT_0_label_1,146,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,128,10752,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,108,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,47,93,0,0,0,3 FT_3_label_4,15 FT_4_label_16,71,0(unknown),1001051.0890960693,2000-01-13 02:04:11.089,33c47(MID_50)
2022-03-04 15:37:02.486,3,1 FT_0_label_1,118,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,100,10753,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,80,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,47,65,0,0,0,3 FT_3_label_4,15 FT_4_label_16,67,0(unknown),1001051.0891265869,2000-01-13 02:04:11.089,33c43(MID_46)
2022-03-04 15:37:02.486,3,1 FT_0_label_1,126,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,108,10754,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,88,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,47,73,0,0,0,3 FT_3_label_4,15 FT_4_label_16,65,0(unknown),1001051.0891571045,2000-01-13 02:04:11.089,33c41(MID_44)
2022-03-04 15:37:02.486,3,1 FT_0_label_1,590,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,572,10755,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,552,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,370,537,0,0,0,3 FT_3_label_4,15 FT_4_label_16,272,0(unknown),1001051.1288757324,2000-01-13 02:04:11.128,33d10(MID_61)
2022-03-04 15:37:02.511,3,1 FT_0_label_1,246,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,228,10756,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,208,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,370,193,0,0,0,3 FT_3_label_4,15 FT_4_label_16,1,0(unknown),1001051.1292724609,2000-01-13 02:04:11.129,33c01(MID_1)
2022-03-04 15:37:02.511,3,1 FT_0_label_1,334,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,316,10757,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,296,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,47,281,0,0,0,3 FT_3_label_4,15 FT_4_label_16,264,0(unknown),1001051.1293334961,2000-01-13 02:04:11.129,33d08(MID_60)
2022-03-04 15:37:02.586,3,1 FT_0_label_1,210,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,192,10758,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,172,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,370,157,0,0,0,3 FT_3_label_4,15 FT_4_label_16,5,0(unknown),1001051.1423950195,2000-01-13 02:04:11.142,33c05(MID_5)
2022-03-04 15:37:02.611,3,1 FT_0_label_1,94,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,76,10759,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,56,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,370,41,0,0,0,3 FT_3_label_4,15 FT_4_label_16,8,0(unknown),1001051.1823272705,2000-01-13 02:04:11.182,33c08(MID_8)
2022-03-04 15:37:02.686,3,1 FT_0_label_1,350,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,332,10760,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,312,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,370,297,0,0,0,3 FT_3_label_4,15 FT_4_label_16,12,0(unknown),1001051.1956634521,2000-01-13 02:04:11.195,33c0c(MID_12)
2022-03-04 15:37:02.711,3,1 FT_0_label_1,98,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,80,10761,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,60,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,324,45,0,0,0,3 FT_3_label_4,15 FT_4_label_16,15,0(unknown),1001051.2356567383,2000-01-13 02:04:11.235,33c0f(MID_15)
2022-03-04 15:37:02.711,3,1 FT_0_label_1,590,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,572,10762,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,552,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,371,537,0,0,0,3 FT_3_label_4,15 FT_4_label_16,272,0(unknown),1001051.2488708496,2000-01-13 02:04:11.248,33d10(MID_61)
2022-03-04 15:37:02.761,3,1 FT_0_label_1,246,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,228,10763,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,208,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,371,193,0,0,0,3 FT_3_label_4,15 FT_4_label_16,1,0(unknown),1001051.2491149902,2000-01-13 02:04:11.249,33c01(MID_1)
2022-03-04 15:37:02.786,3,1 FT_0_label_1,210,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,192,10764,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,172,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,371,157,0,0,0,3 FT_3_label_4,15 FT_4_label_16,5,0(unknown),1001051.2756500244,2000-01-13 02:04:11.275,33c05(MID_5)
2022-03-04 15:37:02.861,3,1 FT_0_label_1,94,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,76,10765,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,56,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,371,41,0,0,0,3 FT_3_label_4,15 FT_4_label_16,8,0(unknown),1001051.288986206,2000-01-13 02:04:11.288,33c08(MID_8)
2022-03-04 15:37:02.886,3,1 FT_0_label_1,350,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,332,10766,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,312,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,371,297,0,0,0,3 FT_3_label_4,15 FT_4_label_16,12,0(unknown),1001051.328994751,2000-01-13 02:04:11.328,33c0c(MID_12)
2022-03-04 15:37:02.962,3,1 FT_0_label_1,98,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,80,10767,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,60,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,325,45,0,0,0,3 FT_3_label_4,15 FT_4_label_16,15,0(unknown),1001051.3423309326,2000-01-13 02:04:11.342,33c0f(MID_15)
2022-03-04 15:37:02.962,3,1 FT_0_label_1,590,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,572,10768,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,552,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,372,537,0,0,0,3 FT_3_label_4,15 FT_4_label_16,272,0(unknown),1001051.3822021484,2000-01-13 02:04:11.382,33d10(MID_61)
2022-03-04 15:37:02.986,3,1 FT_0_label_1,246,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,228,10769,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,208,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,372,193,0,0,0,3 FT_3_label_4,15 FT_4_label_16,1,0(unknown),1001051.3824310303,2000-01-13 02:04:11.382,33c01(MID_1)
2022-03-04 15:37:02.987,3,1 FT_0_label_1,42,00:10:EC:01:E5:43 (ordi_2),00:1f:29:57:94:f (ordi_4),806,1,2048,6,4,0001,,00:1f:29:57:94:f (ordi_4),,169.254.174.223 (ordi_4),,,,169.254.174.5 (ordi_3),,,,,,,,,,,,,,,,,,
2022-03-04 15:37:02.988,3,1 FT_0_label_1,64,FF:FF:FF:FF:FF:FF (TBD),00:10:EC:01:E5:43 (ordi_2),806,1,2048,6,4,0002,,00:10:EC:01:E5:43 (ordi_2),,169.254.174.5 (ordi_3),,00:1f:29:57:94:f (ordi_4),,169.254.174.223 (ordi_4),,,,,,,,,,,,,,,,,,
2022-03-04 15:37:03.061,3,1 FT_0_label_1,210,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,192,10770,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,172,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,372,157,0,0,0,3 FT_3_label_4,15 FT_4_label_16,5,0(unknown),1001051.3956604004,2000-01-13 02:04:11.395,33c05(MID_5)
2022-03-04 15:37:03.086,3,1 FT_0_label_1,94,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,76,10771,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,56,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,372,41,0,0,0,3 FT_3_label_4,15 FT_4_label_16,8,0(unknown),1001051.4356536865,2000-01-13 02:04:11.435,33c08(MID_8)
